kode pelanggan,umur,kota,gender,education,keluarga,Pekerjaan,Penanggung,Usaha,punya_produk1,punya_produk2,punya_produk3,punya_produk4,punya_produk5,punya_produk6,jualan,omset,penghasilan,average_sisauang_mingguan_1BT,average_sisauang_mingguan_2BT,average_sisauang_mingguan_3BT,average_sisauang_mingguan_4BT,average_sisauang_mingguan_5BT,average_sisauang_mingguan_6BT,sisauang_akhir_1BT,sisauang_akhir_2BT,sisauang_akhir_3BT,sisauang_akhir_4BT,sisauang_akhir_5BT,sisauang_akhir_6BT,sisauang_tertahan_1BT,sisauang_tertahan_2BT,sisauang_tertahan_3BT,sisauang_tertahan_4BT,sisauang_tertahan_5BT,sisauang_tertahan_6BT,sisauang_tersedia_1BT,sisauang_tersedia_2BT,sisauang_tersedia_3BT,sisauang_tersedia_4BT,sisauang_tersedia_5BT,sisauang_tersedia_6BT,sisa_hutang_1BT,sisa_hutang_2BT,sisa_hutang_3BT,sisa_hutang_4BT,sisa_hutang_5BT,sisa_hutang_6BT,jumlah_pembayaran_hutang_1BT,jumlah_pembayaran_hutang_2BT,jumlah_pembayaran_hutang_3BT,jumlah_pembayaran_hutang_4BT,jumlah_pembayaran_hutang_5BT,jumlah_pembayaran_hutang_6BT,jumlah_pengeluaran_1BT,jumlah_pengeluaran_2BT,jumlah_pengeluaran_3BT,jumlah_pengeluaran_4BT,jumlah_pengeluaran_5BT,jumlah_pengeluaran_6BT,jumlah_pemasukan_1BT,jumlah_pemasukan_2BT,jumlah_pemasukan_3BT,jumlah_pemasukan_4BT,jumlah_pemasukan_5BT,jumlah_pemasukan_6BT,frekuensi_pengeluaran_1BT,frekuensi_pengeluaran_2BT,frekuensi_pengeluaran_3BT,frekuensi_pengeluaran_4BT,frekuensi_pengeluaran_5BT,frekuensi_pengeluaran_6BT,frekuensi_pemasukan_1BT,frekuensi_pemasukan_2BT,frekuensi_pemasukan_3BT,frekuensi_pemasukan_4BT,frekuensi_pemasukan_5BT,frekuensi_pemasukan_6BT,tgl data,flag
MECZ465,28.0,F,F,,K,Pedagang,,,1.0,1.0,1.0,1.0,0.0,1.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,633.2911277,737.7894404,841.5734674,948.9816507,1056.389904,1163.798088,0.0,0.0,0.0,0.0,0.0,0.0,98.65030934,0.0,0.0,366.9739876,0.0,0.0,116.8931384,0.0,0.0,363.0707255,0.0,0.0,33.0,22.0,36.0,36.0,27.0,13.0,9.0,7.0,7.0,7.0,2.0,3.0,04/08/23 14.17,0.0
PY86080,9.0,D,,,,,,Jasa Kegiatan Lainnya,0.0,0.0,1.0,1.0,0.0,1.0,,,,24009.18998,0.0,0.0,0.0,0.0,0.0,20104.20754,0.0,0.0,0,0.0,0.0,19677.11361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104041.5193,0.0,0.0,0.0,0.0,0.0,104041.5681,0.0,0.0,0.0,0.0,0.0,459699.5604,0.0,0.0,0.0,0.0,0.0,459723.6269,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,04/08/23 14.17,0.0
CH27090,3.0,F,,,,,,Jasa Kegiatan Lainnya,0.0,0.0,1.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.5694601,0.0,0.0,0.0,0.0,0.0,31.80026715,19.01054556,0.0,12.0,7.0,10.0,20.0,17.0,12.0,9.0,7.0,11.0,28.0,29.0,17.0,04/08/23 14.17,0.0
HPG0536,2.0,K,,,,,,Perd. Eceran Voucher & HP,0.0,1.0,0.0,1.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,04/08/23 14.17,1.0
ACLA665,37.0,X,M,,B,Usaha Mandiri,,,0.0,1.0,1.0,0.0,0.0,1.0,RITEL,,,1183.333277,1121.80827,39.41325647,1851.745115,0.0,0.0,844.8436727,208.6202475,2793.97268,2241.759097,2022.866803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,844.8436727,208.6202475,2793.97268,2241.759097,2022.866803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10059.98981,4240.40284,5032.476589,5918.237697,2087.80329,0.0,10696.21323,1655.050408,5584.690172,6137.129992,5513.748172,0.0,79.0,71.0,46.0,49.0,24.0,0.0,4.0,6.0,9.0,8.0,11.0,0.0,04/08/23 14.17,0.0
SLDE429,30.0,F,M,,B,Usaha Mandiri,,,0.0,0.0,1.0,1.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,04/08/23 14.17,0.0
DW17539,44.0,L,F,,K,Ibu RT,,,1.0,1.0,1.0,0.0,1.0,1.0,,,,9454.559981,13694.79755,11890.66415,9183.52362,2313.424755,5392.890145,8510.420501,11515.71561,4319.726533,8028.349241,1053.237191,6527.63854,0.0,0.0,0.0,0.0,0.0,0.0,8510.420501,11515.71561,4319.726533,8028.349241,1053.237191,6527.63854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27632.29701,26175.84641,27287.4241,37428.88528,29456.19599,47735.59823,24437.80758,33371.83549,23578.80139,44289.49895,24054.24262,41074.43553,504.0,354.0,402.0,327.0,300.0,353.0,64.0,62.0,82.0,84.0,89.0,57.0,04/08/23 14.17,0.0
RFOK334,23.0,X,M,,B,Usaha Mandiri,,,0.0,0.0,1.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,04/08/23 14.17,0.0
LM39266,34.0,E,F,,K,Ibu RT,SUAMI,,1.0,1.0,1.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7891.254218,12512.03124,8961.238259,0.0,0.0,0.0,7952.592309,12014.12198,9627.401926,0.0,0.0,2.0,313.0,542.0,357.0,1.0,0.0,12.0,29.0,61.0,50.0,2.0,0.0,04/08/23 14.17,0.0
PG64174,34.0,P,F,,K,Usaha Mandiri,,,1.0,1.0,1.0,0.0,1.0,0.0,RITEL,,,16229.21261,16256.31897,19422.12835,17682.0002,5943.072357,0.0,13254.97749,18278.21905,13602.85425,23195.89221,7203.334702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13254.97749,18278.21905,13602.85425,23195.89221,7203.334702,0.0,14814.24093,14915.44544,15015.91732,15115.66198,15213.97286,15312.28382,0.0,0.0,0.0,0.0,0.0,0.0,8626.663245,3711.1527,13792.17667,1652.234533,42052.85616,0.0,3603.421682,8386.517506,4199.138709,17644.79204,49683.02622,0.0,47.0,34.0,50.0,17.0,52.0,7.0,22.0,41.0,7.0,12.0,18.0,3.0,04/08/23 14.17,1.0
DUO7314,23.0,K,M,,B,Usaha Mandiri,,,0.0,0.0,1.0,0.0,0.0,0.0,RITEL,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,04/08/23 14.17,1.0
ACI1009,35.0,R,F,,K,Usaha Mandiri,,,1.0,1.0,1.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1023.802306,0.0,616.4063555,0.0,0.0,0.0,966.8297947,0.0,652.6308352,0.0,0.0,0.0,39.0,24.0,19.0,0.0,0.0,0.0,97.0,50.0,68.0,0.0,0.0,0.0,04/08/23 14.17,0.0
KFR7049,64.0,M,M,,K,Dokter,,,0.0,1.0,1.0,0.0,0.0,0.0,,,,3636.494854,8339.944588,9726.530585,7139.425597,10733.99509,8201.653194,1528.468968,5399.475295,9876.50658,4247.279148,8468.202025,8203.372019,0.0,0.0,0.0,0.0,0.0,0.0,1528.468968,5399.475295,9876.50658,4247.279148,8468.202025,8203.372019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2804.887163,3508.434828,2805.394755,3156.806313,4563.126969,0.0,0.0,0.0,8434.622188,0.0,4827.956974,0.0,3.0,3.0,4.0,2.0,4.0,1.0,0.0,2.0,7.0,0.0,3.0,0.0,04/08/23 14.17,0.0
NTI3682,31.0,D,M,,K,,HASIL USAHA,,0.0,1.0,1.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,04/08/23 14.17,0.0
CE68262,27.0,H,F,,B,Usaha Mandiri,,,1.0,1.0,1.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,26.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,04/08/23 14.17,0.0
AQLZ304,1.0,Q,,,,,,Perd. Eceran Alat Rumah Tangga,0.0,0.0,0.0,1.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,04/08/23 14.17,0.0
JR69218,61.0,K,M,,K,Technical / Engineering-lainnya,,,0.0,0.0,1.0,0.0,0.0,0.0,,,,7747.20203,7744.779042,6869.19806,6871.053571,6898.582663,6895.628295,7748.335208,7745.785855,6870.344207,6867.848003,6900.014342,6896.906285,0.0,0.0,0.0,0.0,0.0,0.0,7748.335208,7745.785855,6870.344207,6867.848003,6900.014342,6896.906285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,04/08/23 14.17,0.0
BE14464,51.0,D,M,,K,Administrasi Umum / Supervisor,,,1.0,1.0,0.0,1.0,0.0,1.0,,,,0.0,0.0,0.0,0.0,0.0,1140.449232,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25512.13127,16429.35167,11591.88929,9760.672891,9587.843518,1516.813006,33737.85602,33737.85602,33737.85602,33737.85602,33737.85602,33737.85602,9129.214426,7428.570444,4593.517857,1584.50921,6623.307649,12063.14329,9129.214426,7428.570444,4593.517857,1584.50921,6623.307649,12063.14329,3.0,2.0,3.0,2.0,1.0,2.0,4.0,3.0,2.0,2.0,1.0,2.0,04/08/23 14.17,0.0
KCR3221,51.0,B,F,,K,Usaha Mandiri,,,0.0,0.0,1.0,0.0,0.0,1.0,RITEL,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1474.598763,2657.291128,2103.626181,2967.07635,1056.923158,1514.668307,1464.948116,2653.478136,2127.788948,1936.659097,2080.330287,1565.013639,42.0,87.0,77.0,109.0,138.0,119.0,151.0,172.0,160.0,174.0,160.0,139.0,04/08/23 14.17,0.0
SDTQG19,43.0,M,F,,,,,Perdagangan Eceran Lainnya,0.0,1.0,0.0,1.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,04/08/23 14.17,0.0
BBS0234,2.0,S,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,CHAIN,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,04/08/23 14.17,0.0
APRC188,37.0,G,F,,K,,SUAMI PEDAGANG,,0.0,0.0,1.0,0.0,0.0,1.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3858.764342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,04/08/23 14.17,0.0
AMH4900,38.0,C,M,,K,Usaha Mandiri,,,0.0,1.0,1.0,0.0,0.0,0.0,,,,11233.93876,3844.059868,1966.852338,4143.576599,6541.622807,1462.620387,14138.11454,9038.318771,356.1121485,599.2253375,11473.88275,3308.155596,0.0,0.0,0.0,0.0,0.0,0.0,14138.11454,9038.318771,356.1121485,599.2253375,11459.61109,3308.155596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77602.21105,74668.73017,73018.30877,80543.34962,65606.35215,28929.91725,82822.13941,83350.9368,72775.19558,69461.43652,72761.3118,32178.9884,224.0,279.0,294.0,325.0,303.0,184.0,109.0,102.0,92.0,94.0,100.0,89.0,04/08/23 14.17,0.0
MZC1581,41.0,L,F,,K,,SUAMI,,1.0,1.0,1.0,0.0,0.0,0.0,RITEL,,,1550.794682,0.0,0.0,0.0,0.0,0.0,1443.558844,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1443.558844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7512.857916,0.0,0.0,0.0,0.0,0.0,5846.503164,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,04/08/23 14.17,0.0
J689807,49.0,L,F,,K,Ibu RT,,,0.0,0.0,1.0,0.0,0.0,0.0,,,,1439.668344,789.6068476,0.0,10703.3042,13608.7397,11940.08787,0.0,1407.454893,242.6403543,0,13740.75551,13325.14373,0.0,0.0,0.0,0.0,0.0,5619.886389,0.0,1403.939708,239.1251687,0.0,13737.24033,6291.25734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3732.428501,0.0,0.0,12694.28178,0.0,0.0,1007.189047,0.0,0.0,0.0,0.0,2434.860307,2.0,0.0,0.0,1.0,0.0,0.0,6.0,2.0,2.0,0.0,0.0,12.0,04/08/23 14.17,0.0
AOPA823,28.0,F,M,,K,Usaha Mandiri,,,0.0,0.0,1.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,04/08/23 14.17,0.0
